date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-06-22,19.1,16.9,21.6,,,260,15.5,40.8,1009.9,
2024-06-23,18,14.1,21.7,,,294,13.6,35.2,1016.3,
2024-06-24,18.8,12.6,23.8,,,340,8,20.4,1019.9,
2024-06-25,21,14.4,26.5,,,92,11.8,31.5,1018.5,
2024-06-26,23.9,16.9,30.1,,,94,13.5,29.6,1013.3,
2024-06-27,24.3,19.8,29.3,,,138,10.4,27.8,1009.4,
2024-06-28,22.6,18.5,25.9,,,253,12.9,40.8,1012,
2024-06-29,22.3,14,29.5,,,105,10.1,29.6,1015.2,
2024-06-30,22.6,18,26.8,,,221,16.2,44.5,1004.4,
2024-07-01,17.3,14.6,18.7,,,279,11.7,31.5,1010.8,
2024-07-02,14.9,12.4,16.3,,,269,14.7,33.3,1010.7,
2024-07-03,15.3,13.4,17.9,,,268,12.7,29.6,1008.6,
2024-07-04,15.3,12.5,17.8,,,235,13.4,38.9,1006.6,
2024-07-05,16.1,11,20,,,235,14,40.8,1010.3,
2024-07-06,20.7,13.1,28.6,,,194,15.8,44.5,1005.3,
2024-07-07,18.2,14,21.8,,,237,13.3,31.5,1012.4,
2024-07-08,19.3,12.5,24.9,,,217,9.7,27.8,1017.3,
2024-07-09,23.9,16.6,30.9,,,112,12.2,29.6,1017.9,
2024-07-10,24,20.5,27.4,,,222,11.3,27.8,1014.5,
2024-07-11,21.8,19.2,25.2,,,274,9.4,27.8,1015.8,
2024-07-12,21.7,17.3,26.1,,,112,11.5,33.3,1012.1,
2024-07-13,18.7,15,22.5,,,260,13.4,35.2,1010.3,
2024-07-14,18.9,12.6,24.1,,,240,8.2,27.8,1013.5,
2024-07-15,21.8,14,28.6,,,198,9.1,25.9,1013,
2024-07-16,21.9,18.5,26.1,,,219,11.5,33.3,1010.7,
2024-07-17,19.6,15.5,23.3,,,254,13.3,35.2,1017.8,
2024-07-18,20,14.6,25.6,,,300,8.8,22.2,1022.9,
2024-07-19,22.6,15.1,29,,,95,7.7,22.2,1020.7,
2024-07-20,24,17.6,30.1,,,97,11,25.9,1013.3,
2024-07-21,25.2,17.7,32.2,,,134,10.4,25.9,1008.1,
2024-07-22,21.8,18.3,23.2,,,276,14.5,38.9,1012.2,
2024-07-23,20.2,13.7,26.2,,,236,10.4,29.6,1016.2,
2024-07-24,18.9,16.1,21.9,,,294,14.4,37,1015.5,
2024-07-25,17.5,12.5,23,,,298,10.1,27.8,1015.7,
2024-07-26,18.9,14,23.1,,,168,10.2,25.9,1011.9,
2024-07-27,19.4,16.9,22.7,,,247,7.6,18.5,1013.6,
2024-07-28,19,16.6,22.3,,,324,14.6,38.9,1018.7,
2024-07-29,17.9,12.5,23,,,308,12.9,33.3,1023.9,
2024-07-30,20,11.9,27.3,,,146,7.6,22.2,1019.1,
2024-07-31,22.7,15.5,29.1,,,113,8.3,22.2,1014,
2024-08-01,22.2,16.9,26.5,,,38,8.6,22.2,1012.1,
2024-08-02,18.9,17.1,20.3,,,18,10.3,24.1,1010.4,
2024-08-03,19.9,14.9,24.7,,,300,8.1,22.2,1010.7,
2024-08-04,19.2,17,22,,,257,12.1,33.3,1010.8,
2024-08-05,18,13.9,22.2,,,306,12.1,29.6,1014.7,
2024-08-06,19.7,12.6,26.1,,,133,8.5,22.2,1014.1,
